OBJECTID,COD_VOLCAD,A├æO,FECHA,EVENTO_SIR,COD_SIGAU,COD_ESPEC,NOMBRE_COM,DAP,H,DC,AC,AI,PPT,VV,EM_COD,ESPACIO,LOC_COD,LOC_NOM,BARRIO,X,Y,mes,nombre_mes
1,V1,2011,2011-01-24,109721,03010602000135,3,"Cipres, Pino cipres, Pino",0.143239113827,9.44203866,3.8,5.89771628,11,0.2,3.4,L5,NO REGISTRA,3,SANTA FE,PLAZA DE TOROS DE LA SANTAMARIA,-74.068187625,4.612354579,1.0,January
2,V2,2011,2011-01-28,109818,13021201000023,27,Acacia de jardin,0.0,6.02911829,0.0,0.0,0,1.6,4.2,U11,NO REGISTRA,13,TEUSAQUILLO,URBANIZACION COLISEO,-74.078320429,4.644479722,1.0,January
3,V3,2011,2011-03-25,111176,10010402000044,94,Sauco,0.369238604533,6.0,7.9,4.37044372,3,5.0,3.0,L3,NO REGISTRA,10,ENGATIVA,AGRUPACION DE VIVIENDA CARACOLI,-74.101466761,4.679744785,3.0,March
4,V4,2011,2011-03-25,111180,16021202000032,36,"Caucho de la india, caucho",0.0,11.01358852,0.0,0.0,0,6.3,3.4,U13,NO REGISTRA,16,PUENTE ARANDA,URBANIZACION SAN EUSEBIO,-74.122599857,4.60527685,3.0,March
5,V5,2011,2011-03-26,2011ER36684,06020201000152,61,"Jazmin del cabo, laurel huesito",0.17825311943,3.0,2.5,2.14741595,2,0.4,4.8,U13,NO REGISTRA,6,TUNJUELITO,EL TUNAL II,-74.138445586,4.575791438,3.0,March
6,V6,2011,2011-04-02,111572,08011302000905,36,"Caucho de la india, caucho",0.286478227655,12.0,9.3,7.22806874,0,0.5,4.8,U10,NO REGISTRA,8,KENNEDY,URBANIZACION CIUDAD KENNEDY  SPMZ 12,-74.154680501,4.630508798,4.0,April
7,V7,2011,2011-04-05,111699,11010302000038,25,Acacia japonesa,0.652533740769,8.40748373,8.8,4.50879535,10,1.1,2.9,U13,NO REGISTRA,11,SUBA,PUENTE LARGO,-74.067351571,4.695109826,4.0,April
8,V8,2011,2011-04-05,111701,01020804000061,1,Araucaria,0.213267125032,9.15012534,4.27,6.58910128,5,1.4,2.9,U11,NO REGISTRA,1,USAQUEN,SANTA BARBARA CENTRAL IV SECTOR,-74.033412032,4.701476775,4.0,April
9,V9,2011,2011-04-06,111759,10011204001022,28,"Acacia baracatinga, acacia sabanera, acacia nigra",0.280112044818,8.0,7.5,7.12293098,14,2.8,3.4,L3,NO REGISTRA,10,ENGATIVA,TIERRA GRATA,-74.121654935,4.698634356,4.0,April
10,V10,2011,2011-04-06,111759,10011204001790,28,"Acacia baracatinga, acacia sabanera, acacia nigra",0.0,8.0,5.95,6.1078054,6,2.8,3.4,U10,NO REGISTRA,10,ENGATIVA,TIERRA GRATA,-74.121849204,4.698547441,4.0,April
11,V11,2011,2011-04-08,111869,10011804000452,118,Acacia morada,0.257830404889,8.06898858,5.0,4.02493731,1,3.2,2.9,U10,NO REGISTRA,10,ENGATIVA,GRAN GRADANA I Y II,-74.12584417,4.718932257,4.0,April
12,V12,2011,2011-04-09,111958,02020601000239,14,Eucalipto pomarroso,0.171886936593,4.76491195,5.6,2.40223174,14,4.7,3.2,U11,NO REGISTRA,2,CHAPINERO,LA CABRERA,-74.050095861,4.669699364,4.0,April
13,V13,2011,2011-04-09,111962,19011102000059,37,Caucho sabanero,0.0,4.0,0.0,0.0,0,2.1,3.7,L3,NO REGISTRA,19,CIUDAD BOLIVAR,CANDELARIA LA NUEVA I SECTOR,-74.151405172,4.5707407,4.0,April
14,V14,2011,2011-04-19,112448,01020302000385,15,Eucalipto plateado,0.451998981411,12.0,10.5,11.89208866,10,8.5,4.1,P1,NO REGISTRA,1,USAQUEN,CAMPO ALEGRE,-74.039673989,4.692308965,4.0,April
15,V15,2011,2011-04-19,112486,13020804000154,25,Acacia japonesa,0.0,13.14582067,0.0,0.0,0,9.8,5.0,U3,NO REGISTRA,13,TEUSAQUILLO,URBANIZACION LA MAGDALENA,-74.070742095,4.629716294,4.0,April
16,V16,2011,2011-04-23,112711,02021006000049,13,Eucalipto comun,0.280112044818,12.60382471,5.3,5.01720894,8,2.5,3.5,L3,NO REGISTRA,2,CHAPINERO,URBANIZACION CONJUNTO DE LA CIEN,-74.040842142,4.680162872,4.0,April
17,V17,2011,2011-04-30,113051,01022105000019,94,Sauco,0.0,0.7,0.9,0.5,7,9.5,3.2,U13,NO REGISTRA,1,USAQUEN,URBANIZACION CEDRO GOLF CLUB I SECTOR,-74.02704755,4.724109848,4.0,April
18,V18,2011,2011-05-02,113156,02010903000004,5,Pino patula,0.572956455309,14.70730557,11.1,9.23481977,17,2.9,4.0,U3,NO REGISTRA,2,CHAPINERO,BARRIO CHICO NORTE III SECTOR,-74.053104406,4.68596982,5.0,May
19,V19,2011,2011-05-02,113167,18010102001284,25,Acacia japonesa,0.0,12.0,0.0,0.0,0,1.5,4.0,U3,NO REGISTRA,18,RAFAEL URIBE URIBE,PALERMO SUR,-74.109445138,4.542777669,5.0,May
20,V20,2011,2011-05-02,113171,11012403001133,4,Pino candelabro,0.627069009422,16.0,10.8,3.92624043,7,2.4,4.3,L3,NO REGISTRA,11,SUBA,URBANIZACION COLPATRIA SANTA HELENA,-74.054328717,4.730964261,5.0,May
21,V21,2011,2011-05-04,113301,04010603000528,28,"Acacia baracatinga, acacia sabanera, acacia nigra",0.155971479501,5.23357739,3.7,3.39029962,5,1.3,5.4,L3,NO REGISTRA,4,SAN CRISTOBAL,URBANIZACION HORACIO ORJUELA,-74.087967433,4.556745932,5.0,May
22,V22,2011,2011-05-12,113624,13020705000135,25,Acacia japonesa,0.0,12.55176531,0.0,0.0,0,12.6,3.7,H4,NO REGISTRA,13,TEUSAQUILLO,URBANIZACION LA MAGDALENA,-74.070723644,4.630192039,5.0,May
